From	To	Species	Gene Name
262405_at	AT1G34650	Arabidopsis thaliana	homeodomain GLABROUS 10(HDG10)
253312_s_at	AT4G33860	Arabidopsis thaliana	Glycosyl hydrolase family 10 protein(AT4G33860)
252357_at	AT3G48410	Arabidopsis thaliana	alpha/beta-Hydrolases superfamily protein(AT3G48410)
246034_at	AT5G08350	Arabidopsis thaliana	GRAM domain-containing protein / ABA-responsive protein-like protein(AT5G08350)
260169_at	AT1G71990	Arabidopsis thaliana	fucosyltransferase 13(FUT13)
265425_at	AT2G20770	Arabidopsis thaliana	GCR2-like 2(GCL2)
251500_at	AT3G59110	Arabidopsis thaliana	Protein kinase superfamily protein(AT3G59110)
245371_at	AT4G15750	Arabidopsis thaliana	Plant invertase/pectin methylesterase inhibitor superfamily protein(AT4G15750)
263052_at	AT2G13430	Arabidopsis thaliana	hypothetical protein(AT2G13430)
245700_at	AT5G04180	Arabidopsis thaliana	alpha carbonic anhydrase 3(ACA3)
259296_at	AT3G05350	Arabidopsis thaliana	Metallopeptidase M24 family protein(AT3G05350)
250524_at	AT5G08520	Arabidopsis thaliana	Duplicated homeodomain-like superfamily protein(AT5G08520)
267600_at	AT2G33040	Arabidopsis thaliana	gamma subunit of Mt ATP synthase(ATP3)
258949_at	AT3G01370	Arabidopsis thaliana	CRM family member 2(CFM2)
257252_at	AT3G24170	Arabidopsis thaliana	glutathione-disulfide reductase(GR1)
266096_at	AT2G38020	Arabidopsis thaliana	vacuoleless1 (VCL1)(VCL1)
249918_at	AT5G19240	Arabidopsis thaliana	Glycoprotein membrane precursor GPI-anchored(AT5G19240)
